TUCASEID,TEAGE_EC,TEELDUR,TEELWHO,TEELYRS,TRELHH,TUECLNO,TULINENO,TXAGE_EC,TXELDUR,TXELWHO,TXELYRS
20190908192161,72,4,37,7,0,2,-1,0,0,0,0
20190908192184,71,3,34,-1,0,7,-1,0,0,0,-1
20190908192189,80,4,20,2,1,2,2,0,42,0,42
20190908192200,85,4,56,4,0,3,-1,60,0,0,0
20190908192240,70,4,47,2,0,5,-1,0,0,0,0
20190908192241,74,4,20,15,1,2,2,0,0,0,0
20190908192266,80,1,43,-1,0,2,-1,60,0,0,-1
20190908192271,80,4,33,3,0,2,-1,60,0,0,0
20190908192284,80,4,39,1,0,4,-1,60,0,0,0
20190908192294,65,4,38,2,0,4,-1,0,0,0,0
20190908192393,70,2,33,-1,0,5,-1,0,0,0,-1
20190908192393,74,2,34,-1,0,6,-1,0,0,0,-1
20190908192399,80,2,34,-1,0,4,-1,60,0,0,-1
20190908192399,80,4,33,2,0,5,-1,60,0,0,0
20190908192405,67,3,20,-1,1,2,2,0,0,0,-1
20190908192432,80,4,33,2,0,2,-1,0,0,0,0
20190908192464,56,4,49,10,0,5,-1,0,0,0,0
20190908192465,80,4,33,9,0,3,-1,60,0,0,0
20190908192480,72,4,33,3,0,5,-1,0,0,0,0
20190908192519,71,2,33,-1,0,3,-1,0,0,0,-1
20190908192519,78,2,34,-1,0,4,-1,0,0,0,-1
20190908192523,80,4,43,8,0,4,-1,60,0,0,0
20190909190038,85,4,24,2,1,5,5,60,0,0,0
20190909190038,80,4,24,2,1,6,6,60,0,0,0
20190909190077,85,1,43,-1,0,5,-1,0,0,0,-1
20190909190572,85,4,33,4,0,3,-1,60,0,0,0
20190909190572,80,2,43,-1,0,4,-1,60,0,0,-1
20190909190597,63,4,56,5,0,3,-1,42,0,0,0
20190909190597,77,4,56,5,0,4,-1,42,0,0,0
20190909190641,85,4,33,9,0,2,-1,60,0,0,0
20190909190641,85,1,34,-1,0,3,-1,60,0,0,-1
20190909190686,80,4,33,15,0,2,-1,60,0,0,0
20190909190759,85,4,44,5,0,2,-1,60,0,0,0
20190909190836,77,4,20,4,1,2,2,0,0,0,0
20190909190842,85,3,40,-1,0,6,-1,0,0,0,-1
20190909190842,80,3,39,-1,0,7,-1,60,0,0,-1
20190909190868,85,4,44,4,0,3,-1,60,0,0,0
20190909190868,85,4,43,3,0,4,-1,60,0,0,0
20190909190868,80,4,43,3,0,5,-1,60,0,0,0
20190909190868,85,4,43,3,0,6,-1,60,0,0,0
20190909190868,80,4,43,3,0,7,-1,60,0,0,0
20190909190930,69,4,20,6,1,2,2,0,0,0,0
20190909191023,85,4,34,10,0,4,-1,60,0,0,0
20190909191023,80,4,39,4,0,5,-1,60,0,0,0
20190909191071,76,4,49,3,0,5,-1,0,0,0,0
20190909191099,67,2,33,-1,0,3,-1,0,42,0,-1
20190909191273,85,2,44,-1,0,2,-1,60,0,0,-1
20190909191297,65,1,43,-1,0,2,-1,0,0,0,-1
20190909191357,52,4,34,2,0,6,-1,0,0,0,0
20190909191384,69,2,33,-1,0,6,-1,0,0,0,-1
20190909191436,80,4,33,13,0,3,-1,60,0,0,0
20190909191751,70,4,33,10,0,4,-1,0,0,0,0
20190909191751,80,4,34,10,0,5,-1,0,0,0,0
20190909191778,85,4,47,18,0,5,-1,60,0,0,0
20190909191778,85,4,48,18,0,6,-1,60,0,0,0
20190909191849,79,4,39,8,0,4,-1,0,0,0,0
20190909191872,74,1,20,-1,1,2,2,0,0,0,-1
20190909191931,65,2,40,-1,0,4,-1,0,0,0,-1
20190909192000,60,1,44,-1,0,2,-1,0,0,0,-1
20190909192000,45,1,44,-1,0,3,-1,0,0,0,-1
20190909192000,50,1,44,-1,0,4,-1,0,0,0,-1
20190909192017,70,4,41,2,0,3,-1,0,0,0,0
20190909192087,78,4,49,5,0,2,-1,0,0,0,0
20190909192116,52,4,22,52,1,2,2,0,0,0,0
20190909192126,63,3,43,-1,0,3,-1,0,0,0,-1
20190909192176,85,4,24,5,1,2,2,0,0,0,0
20190909192195,85,4,34,5,0,3,-1,60,0,0,0
20190909192346,85,4,33,12,0,2,-1,60,0,0,0
20190909192346,85,4,34,4,0,3,-1,60,0,0,0
20191007191737,85,4,40,5,0,6,-1,60,0,0,0
20191007191918,74,2,33,-1,0,4,-1,0,0,0,-1
20191008190511,76,1,44,-1,0,2,-1,42,0,0,-1
20191008191034,68,4,37,25,0,4,-1,0,0,0,0
20191008191050,71,4,24,5,1,2,2,0,0,0,0
20191008191083,80,4,39,4,0,3,-1,60,0,0,0
20191008191099,73,4,33,7,0,5,-1,0,0,0,0
20191008191099,39,4,38,3,0,6,-1,0,0,0,0
20191008191099,49,4,37,3,0,7,-1,0,0,0,0
20191008191099,58,4,41,2,0,8,-1,0,0,0,0
20191008191099,85,4,48,6,0,9,-1,60,0,0,0
20191008191143,85,1,34,-1,0,3,-1,60,0,0,-1
20191008191238,85,4,34,10,0,3,-1,60,0,0,0
20191008191238,56,1,44,-1,0,4,-1,0,0,0,-1
20191008191344,80,4,47,5,0,5,-1,60,0,0,0
20191008191349,85,1,34,-1,0,2,-1,0,0,0,-1
20191008191416,58,4,24,2,1,2,2,0,42,0,42
20191008191516,85,4,44,6,0,4,-1,60,0,0,0
20191008191516,85,4,44,6,0,5,-1,60,0,0,0
20191008191554,85,3,49,-1,0,4,-1,60,0,0,-1
20191008191626,68,2,30,-1,1,3,3,0,0,0,-1
20191008191690,85,2,47,-1,0,4,-1,60,0,0,-1
20191008191755,71,4,33,2,0,4,-1,0,0,0,0
20191008191784,79,1,38,-1,0,2,-1,0,0,0,-1
20191008192091,78,3,44,-1,0,3,-1,0,0,0,-1
20191008192115,64,4,56,2,0,4,-1,0,0,0,0
20191008192315,80,2,43,-1,0,2,-1,0,0,0,-1
20191008192315,60,3,43,-1,0,3,-1,0,0,0,-1
20191008192317,85,3,43,-1,0,2,-1,60,0,0,-1
20191008192317,71,2,43,-1,0,3,-1,0,0,0,-1
20191008192417,80,4,39,2,0,3,-1,60,0,0,0
20191008192417,80,4,40,2,0,4,-1,60,0,0,0
20191008192482,85,4,39,10,0,3,-1,60,0,0,0
20191009190081,73,2,24,-1,1,2,2,0,0,0,-1
20191009190081,66,2,24,-1,1,3,3,0,0,0,-1
20191009190095,68,1,33,-1,0,7,-1,0,0,0,-1
20191009190097,80,1,43,-1,0,2,-1,60,0,0,-1
20191009190108,80,1,56,-1,0,3,-1,60,0,0,-1
20191009190108,79,1,56,-1,0,4,-1,0,0,0,-1
20191009190108,76,1,56,-1,0,5,-1,0,0,0,-1
20191009190552,80,1,43,-1,0,5,-1,0,0,0,-1
20191009190560,65,4,43,2,0,2,-1,0,0,0,0
20191009190583,77,4,20,3,1,2,2,0,0,0,0
20191009190591,79,3,44,-1,0,2,-1,0,0,0,-1
20191009190600,80,4,33,3,0,4,-1,0,0,0,0
20191009190635,72,4,37,7,0,3,-1,0,0,0,0
20191009190635,47,4,49,19,0,4,-1,0,0,0,0
20191009190697,85,4,33,5,0,2,-1,60,0,0,0
20191009190779,75,1,33,-1,0,2,-1,0,0,0,-1
20191009190789,85,1,33,-1,0,3,-1,60,0,0,-1
20191009190859,66,1,34,-1,0,5,-1,0,0,0,-1
20191009190859,85,4,47,20,0,6,-1,60,0,0,0
20191009190894,85,4,33,5,0,2,-1,60,0,0,0
20191009190905,56,1,43,-1,0,2,-1,0,0,0,-1
20191009190908,77,1,37,-1,0,2,-1,0,0,0,-1
20191009190924,79,4,47,3,0,2,-1,0,0,0,0
20191009190937,76,4,48,7,0,6,-1,0,0,0,0
20191009190980,78,3,44,-1,0,4,-1,0,0,0,-1
20191009191038,85,3,56,-1,0,3,-1,60,0,0,-1
20191009191125,77,4,38,5,0,3,-1,0,0,0,0
20191009191128,76,1,39,-1,0,6,-1,0,0,0,-1
20191009191128,85,1,40,-1,0,7,-1,60,0,0,-1
20191009191128,57,1,49,-1,0,8,-1,0,0,0,-1
20191009191162,85,4,47,10,0,4,-1,60,0,0,0
20191009191163,54,4,33,1,0,4,-1,0,0,0,0
20191009191209,85,1,34,-1,0,7,-1,0,0,0,-1
20191009191209,79,1,33,-1,0,8,-1,0,0,0,-1
20191009191210,80,1,38,-1,0,2,-1,0,0,0,-1
20191009191225,85,2,33,-1,0,2,-1,60,0,0,-1
20191009191225,85,2,34,-1,0,3,-1,60,0,0,-1
20191009191232,70,1,35,-1,0,2,-1,0,0,0,-1
20191009191241,73,1,48,-1,0,4,-1,0,0,0,-1
20191009191264,85,4,33,2,0,2,-1,60,0,0,0
20191009191264,85,1,56,-1,0,3,-1,60,0,0,-1
20191009191272,85,4,37,2,0,2,-1,0,0,0,0
20191009191312,68,4,35,3,0,2,-1,0,0,0,0
20191009191348,77,1,44,-1,0,2,-1,42,0,0,-1
20191009191367,77,4,33,10,0,6,-1,0,0,0,0
20191009191374,78,4,48,3,0,5,-1,0,0,0,0
20191009191379,80,4,41,15,0,2,-1,60,0,0,0
20191009191410,66,3,44,-1,0,2,-1,42,0,0,-1
20191009191411,50,4,49,3,0,3,-1,0,0,0,0
20191009191437,80,4,24,16,1,5,5,0,0,0,0
20191009191438,85,3,41,-1,0,4,-1,60,0,0,-1
20191009191438,85,4,41,2,0,5,-1,60,0,0,0
20191009191444,85,4,56,6,0,3,-1,60,0,0,0
20191009191472,85,4,33,15,0,5,-1,60,0,0,0
20191009191472,52,4,56,5,0,6,-1,0,0,0,0
20191009191498,68,3,43,-1,0,2,-1,0,0,0,-1
20191009191575,75,4,41,2,0,2,-1,0,0,0,0
20191009191575,78,3,33,-1,0,3,-1,0,0,0,-1
20191009191585,80,4,47,10,0,7,-1,60,0,0,0
20191009191585,80,4,48,10,0,8,-1,60,0,0,0
20191009191618,85,3,47,-1,0,7,-1,60,0,0,-1
20191009191618,80,3,44,-1,0,8,-1,0,0,0,-1
20191009191678,70,4,44,7,0,5,-1,0,0,0,0
20191009191678,80,3,43,-1,0,6,-1,0,0,0,-1
20191009191678,63,4,26,6,1,4,4,0,0,0,0
20191009191727,85,4,47,5,0,3,-1,60,0,0,0
20191009191777,80,4,47,4,0,4,-1,0,0,0,0
20191009191777,80,4,48,4,0,5,-1,60,0,0,0
20191009191796,75,3,41,-1,0,6,-1,0,0,0,-1
20191009191796,80,4,48,2,0,7,-1,60,0,0,0
20191009191809,85,4,33,10,0,3,-1,60,0,0,0
20191009191842,62,1,34,-1,0,7,-1,0,0,0,-1
20191009191842,61,4,33,5,0,8,-1,0,0,0,0
20191009191856,73,3,37,-1,0,3,-1,0,0,0,-1
20191009191856,76,1,49,-1,0,4,-1,0,0,0,-1
20191009191857,80,4,47,7,0,10,-1,60,0,0,0
20191009191860,85,1,33,-1,0,7,-1,60,0,0,-1
20191009191918,85,4,43,2,0,2,-1,60,0,0,0
20191009191918,75,4,43,4,0,3,-1,0,0,0,0
20191009191951,61,4,20,15,1,2,2,0,0,0,0
20191009191978,85,4,39,36,0,3,-1,60,0,0,0
20191009191978,63,1,37,-1,0,4,-1,0,0,0,-1
20191009191978,72,4,38,10,0,5,-1,0,0,0,0
20191009191989,75,1,40,-1,0,4,-1,0,0,0,-1
20191009192005,63,1,43,-1,0,2,-1,0,0,0,-1
20191009192015,85,4,41,5,0,3,-1,60,0,0,0
20191009192015,80,2,56,-1,0,4,-1,61,0,0,-1
20191009192038,53,1,38,-1,0,6,-1,0,0,0,-1
20191009192045,60,1,49,-1,0,3,-1,0,0,0,-1
20191009192060,75,4,41,29,0,2,-1,0,0,0,0
20191009192084,85,4,33,7,0,2,-1,60,0,0,0
20191009192111,76,1,43,-1,0,4,-1,0,0,0,-1
20191009192113,85,3,33,-1,0,5,-1,60,0,0,-1
20191009192154,85,4,33,2,0,3,-1,60,0,0,0
20191009192174,80,2,56,-1,0,3,-1,60,0,0,-1
20191009192225,85,1,33,-1,0,3,-1,60,0,0,-1
20191009192243,80,1,39,-1,0,5,-1,60,0,0,-1
20191009192243,80,1,40,-1,0,6,-1,60,0,0,-1
20191009192243,80,1,33,-1,0,7,-1,60,0,0,-1
20191009192246,85,1,43,-1,0,3,-1,60,0,0,-1
20191009192246,77,2,43,-1,0,4,-1,0,0,0,-1
20191009192280,85,4,34,4,0,5,-1,60,0,0,0
20191009192281,80,4,33,2,0,2,-1,60,0,0,42
20191009192281,85,4,34,2,0,3,-1,60,0,0,42
20191009192294,64,1,33,-1,0,7,-1,0,0,0,-1
20191009192294,65,1,39,-1,0,8,-1,0,0,0,-1
20191009192294,67,1,40,-1,0,9,-1,0,0,0,-1
20191009192294,80,1,47,-1,0,10,-1,60,0,0,-1
20191009192320,85,3,39,-1,0,3,-1,60,0,0,-1
20191009192320,80,4,41,4,0,4,-1,60,0,0,0
20191009192320,79,4,42,4,0,5,-1,0,0,0,0
20191009192326,80,4,44,3,0,3,-1,60,0,0,0
20191009192326,80,3,39,-1,0,4,-1,60,0,0,-1
20191009192332,85,4,43,5,0,2,-1,0,0,0,0
20191009192342,80,4,47,2,0,5,-1,60,0,0,0
20191009192386,58,4,44,2,0,4,-1,0,0,0,0
20191009192386,68,4,43,7,0,5,-1,0,0,0,0
20191009192386,65,4,43,3,0,6,-1,0,0,0,0
20191009192400,75,3,20,-1,1,2,2,0,0,0,-1
20191009192461,85,1,47,-1,0,4,-1,60,0,0,-1
20191009192461,47,1,24,-1,1,2,2,0,0,0,-1
20191009192476,80,1,43,-1,0,2,-1,60,0,0,-1
20191009192476,85,4,43,4,0,3,-1,60,0,0,0
20191009192476,85,4,43,8,0,4,-1,60,0,0,0
20191009192481,85,4,20,5,1,2,2,0,0,0,0
20191009192484,85,4,34,12,0,3,-1,60,0,0,0
20191009192486,80,4,33,5,0,3,-1,60,0,0,0
20191009192486,80,4,34,5,0,4,-1,60,0,0,0
20191009192508,73,4,20,6,1,2,2,0,0,0,0
20191010190048,51,4,34,5,0,3,-1,0,0,0,0
20191010190534,80,4,33,10,0,3,-1,60,0,0,0
20191010190737,71,4,20,10,1,2,2,0,0,0,0
20191010190806,85,3,34,-1,0,4,-1,60,0,0,-1
20191010190955,80,1,39,-1,0,3,-1,60,0,0,-1
20191010191073,85,1,44,-1,0,2,-1,60,0,0,-1
20191010191551,80,3,34,-1,0,3,-1,60,0,0,-1
20191010191561,73,4,47,3,0,4,-1,0,0,0,0
20191010191561,77,4,48,3,0,5,-1,0,0,0,0
20191010191688,80,4,33,5,0,3,-1,60,0,0,0
20191010191700,85,4,39,2,0,3,-1,60,0,0,0
20191010191757,85,4,33,2,0,4,-1,60,0,0,0
20191010191757,85,1,34,-1,0,5,-1,60,0,0,-1
20191010191852,85,4,34,10,0,3,-1,60,0,0,0
20191010191852,85,4,40,10,0,4,-1,60,0,0,0
20191010191873,85,1,33,-1,0,4,-1,0,0,0,-1
20191010191903,63,4,20,4,1,2,2,0,0,0,0
20191010192086,57,4,20,2,1,2,2,0,0,0,0
20191010192253,85,4,43,2,0,3,-1,60,0,0,0
20191010192253,85,2,43,-1,0,4,-1,60,0,0,-1
20191010192256,80,1,56,-1,0,2,-1,60,0,0,-1
20191109190570,53,4,25,8,1,2,2,0,0,0,0
20191109190623,78,4,33,3,0,2,-1,0,0,0,0
20191109190630,80,4,44,4,0,5,-1,60,0,0,0
20191109190902,85,4,56,15,0,2,-1,60,0,0,0
20191109190902,85,4,56,10,0,3,-1,60,0,0,0
20191109190968,85,4,34,3,0,4,-1,60,0,0,0
20191109191005,79,4,39,2,0,6,-1,0,0,0,0
20191109191049,76,4,43,2,0,6,-1,0,0,0,0
20191109191151,73,4,43,2,0,3,-1,0,0,0,0
20191109191228,80,4,33,2,0,3,-1,60,0,0,0
20191109191228,80,4,34,2,0,4,-1,60,0,0,0
20191109191323,74,4,56,10,0,4,-1,0,0,0,0
20191109191434,85,4,39,15,0,2,-1,60,0,0,0
20191109191440,75,1,33,-1,0,3,-1,0,0,0,-1
20191109191457,85,4,47,6,0,5,-1,0,0,0,0
20191109191457,85,4,48,6,0,6,-1,60,0,0,0
20191109191735,85,1,47,-1,0,3,-1,61,0,0,-1
20191109191741,85,4,41,19,0,3,-1,60,0,0,0
20191109191821,80,1,33,-1,0,3,-1,60,0,0,-1
20191109191899,72,2,33,-1,0,3,-1,0,0,0,-1
20191109191927,65,1,56,-1,0,2,-1,0,0,0,-1
20191109192145,85,4,44,10,0,3,-1,0,0,0,0
20191109192253,65,4,39,7,0,3,-1,0,0,0,0
20191109192331,75,1,33,-1,0,2,-1,0,0,0,-1
20191109192406,80,4,33,30,0,4,-1,60,0,0,0
20191109192456,68,4,33,4,0,5,-1,0,0,0,0
20191109192456,76,4,34,4,0,6,-1,0,0,0,0
20191110190023,73,4,39,5,0,4,-1,0,0,0,0
20191110190023,76,4,40,5,0,5,-1,0,0,0,0
20191110190071,80,4,47,3,0,7,-1,0,0,0,0
20191110190071,80,4,26,2,1,3,3,0,0,0,0
20191110190135,85,4,24,7,1,2,2,0,0,0,0
20191110190162,60,4,56,2,0,4,-1,0,0,0,0
20191110190536,75,4,20,2,1,2,2,0,0,0,0
20191110190540,85,4,35,5,0,3,-1,60,0,0,0
20191110190577,85,4,33,3,0,3,-1,60,0,0,0
20191110190577,85,4,44,3,0,4,-1,60,0,0,0
20191110190577,80,4,44,1,0,5,-1,60,0,0,0
20191110190600,74,4,44,15,0,2,-1,0,0,0,0
20191110190603,62,1,34,-1,0,2,-1,0,0,0,-1
20191110190615,80,4,34,4,0,2,-1,60,0,0,0
20191110190616,85,4,33,2,0,2,-1,60,0,0,0
20191110190616,66,3,37,-1,0,3,-1,0,0,0,-1
20191110190622,80,2,56,-1,0,7,-1,0,0,0,-1
20191110190647,71,2,34,-1,0,5,-1,0,0,0,-1
20191110190654,79,4,33,15,0,2,-1,0,0,0,0
20191110190663,56,1,33,-1,0,7,-1,0,0,0,-1
20191110190692,62,3,24,-1,1,2,2,0,0,0,-1
20191110190727,85,4,41,5,0,6,-1,60,0,0,0
20191110190727,72,3,34,-1,0,7,-1,0,0,0,-1
20191110190728,73,3,47,-1,0,3,-1,0,0,0,-1
20191110190730,71,1,39,-1,0,4,-1,0,0,0,-1
20191110190730,80,4,43,2,0,5,-1,60,0,0,0
20191110190730,68,2,43,-1,0,6,-1,0,0,0,-1
20191110190764,85,4,39,4,0,3,-1,60,0,0,0
20191110190824,85,4,41,10,0,2,-1,60,0,0,0
20191110190828,85,4,33,2,0,2,-1,60,0,0,0
20191110190841,85,4,33,10,0,3,-1,60,0,0,0
20191110190844,85,4,33,6,0,2,-1,60,0,0,0
20191110190853,85,4,33,5,0,3,-1,60,0,0,0
20191110190898,85,4,34,2,0,2,-1,60,0,0,0
20191110190899,85,4,43,2,0,3,-1,61,42,0,42
20191110190899,72,1,43,-1,0,4,-1,42,42,0,-1
20191110190901,85,1,56,-1,0,2,-1,0,0,0,-1
20191110190949,75,4,33,3,0,3,-1,0,0,0,0
20191110190969,60,2,44,-1,0,6,-1,0,0,0,-1
20191110190969,60,3,34,-1,0,7,-1,0,0,0,-1
20191110190988,85,4,20,2,1,2,2,0,0,0,0
20191110191036,80,3,33,-1,0,4,-1,60,0,0,-1
20191110191036,80,3,34,-1,0,5,-1,60,0,0,-1
20191110191058,80,1,44,-1,0,3,-1,61,0,0,-1
20191110191058,76,1,44,-1,0,4,-1,43,0,0,-1
20191110191058,74,1,44,-1,0,5,-1,43,0,0,-1
20191110191058,80,1,44,-1,0,6,-1,61,0,0,-1
20191110191089,55,1,33,-1,0,5,-1,0,0,0,-1
20191110191092,80,4,33,4,0,3,-1,60,0,0,0
20191110191092,85,4,34,2,0,4,-1,60,0,0,0
20191110191116,69,4,42,2,0,5,-1,0,0,0,0
20191110191159,85,3,48,-1,0,5,-1,60,0,0,-1
20191110191180,75,3,38,-1,0,3,-1,0,0,0,-1
20191110191180,72,4,38,8,0,4,-1,0,0,0,0
20191110191180,59,1,38,-1,0,5,-1,0,0,0,-1
20191110191193,85,4,40,2,0,3,-1,0,0,0,0
20191110191223,67,1,44,-1,0,2,-1,0,0,0,-1
20191110191223,70,4,44,2,0,3,-1,0,0,0,42
20191110191223,80,4,43,2,0,4,-1,60,42,0,42
20191110191224,85,4,33,2,0,3,-1,60,0,0,0
20191110191241,78,4,34,3,0,2,-1,0,0,0,0
20191110191271,85,4,39,5,0,3,-1,60,0,0,0
20191110191298,74,2,37,-1,0,3,-1,0,0,0,-1
20191110191300,85,1,34,-1,0,4,-1,60,0,0,-1
20191110191355,85,4,43,2,0,2,-1,60,0,0,0
20191110191394,80,2,43,-1,0,2,-1,0,0,0,-1
20191110191396,85,1,33,-1,0,3,-1,60,0,0,-1
20191110191403,85,4,33,5,0,3,-1,60,0,0,0
20191110191441,85,2,34,-1,0,3,-1,60,0,0,-1
20191110191442,80,2,33,-1,0,2,-1,0,0,0,-1
20191110191447,78,4,33,10,0,4,-1,0,0,0,0
20191110191457,78,4,24,7,1,5,5,0,0,0,0
20191110191457,80,3,24,-1,1,6,6,60,0,0,-1
20191110191459,80,1,49,-1,0,7,-1,60,0,0,-1
20191110191515,68,1,38,-1,0,3,-1,0,0,0,-1
20191110191536,85,3,33,-1,0,3,-1,60,0,0,-1
20191110191623,77,4,43,15,0,3,-1,0,0,0,0
20191110191645,85,4,44,14,0,3,-1,60,0,0,0
20191110191657,80,1,33,-1,0,2,-1,0,0,0,-1
20191110191657,80,1,34,-1,0,3,-1,0,0,0,-1
20191110191670,78,4,44,5,0,4,-1,0,0,0,0
